time,open,high,low,close,volume
2026-07-20 21:52:00,4006.93,4007.25,4006.7,4006.86,82
2026-07-20 21:53:00,4006.88,4007.24,4006.86,4007.19,71
2026-07-20 21:54:00,4007.2,4007.7,4007.02,4007.35,83
2026-07-20 21:55:00,4007.38,4007.41,4006.25,4006.34,79
2026-07-20 21:56:00,4006.32,4006.61,4005.72,4006.32,61
2026-07-20 21:57:00,4006.39,4007.56,4006.27,4006.73,75
2026-07-20 21:58:00,4006.72,4006.87,4006.0,4006.58,66
2026-07-20 21:59:00,4006.6,4007.27,4006.6,4007.19,78
2026-07-20 22:00:00,4007.16,4007.39,4006.52,4007.39,80
2026-07-20 22:01:00,4007.4,4007.88,4006.88,4007.19,78
2026-07-20 22:02:00,4007.08,4007.23,4006.44,4006.44,74
2026-07-20 22:03:00,4006.45,4006.45,4005.63,4005.7,77
2026-07-20 22:04:00,4005.63,4005.76,4004.79,4005.57,77
2026-07-20 22:05:00,4005.59,4005.62,4004.75,4004.82,71
2026-07-20 22:06:00,4004.79,4005.28,4004.52,4005.26,73
2026-07-20 22:07:00,4005.4,4005.84,4005.17,4005.4,64
2026-07-20 22:08:00,4005.38,4005.8,4005.12,4005.6,80
2026-07-20 22:09:00,4005.58,4006.7,4005.58,4006.28,73
2026-07-20 22:10:00,4006.34,4007.22,4006.28,4007.03,83
2026-07-20 22:11:00,4007.04,4007.04,4005.27,4005.54,85
2026-07-20 22:12:00,4005.53,4005.68,4005.17,4005.24,81
2026-07-20 22:13:00,4005.23,4005.23,4004.2,4004.24,75
2026-07-20 22:14:00,4004.25,4004.88,4004.22,4004.47,76
2026-07-20 22:15:00,4004.43,4006.57,4004.14,4006.23,95
2026-07-20 22:16:00,4006.22,4006.82,4006.22,4006.5,76
2026-07-20 22:17:00,4006.54,4006.99,4005.63,4005.81,83
2026-07-20 22:18:00,4005.8,4007.21,4005.74,4007.16,75
2026-07-20 22:19:00,4007.15,4008.15,4007.01,4008.06,79
2026-07-20 22:20:00,4008.1,4009.45,4008.1,4009.33,78
2026-07-20 22:21:00,4009.34,4009.97,4009.34,4009.37,73
2026-07-20 22:22:00,4009.41,4010.02,4009.41,4009.71,76
2026-07-20 22:23:00,4009.71,4009.71,4008.03,4008.39,82
2026-07-20 22:24:00,4008.43,4008.58,4007.73,4007.73,62
2026-07-20 22:25:00,4007.74,4007.74,4006.83,4007.58,62
2026-07-20 22:26:00,4007.59,4007.59,4007.08,4007.18,71
2026-07-20 22:27:00,4007.19,4007.26,4006.88,4007.25,67
2026-07-20 22:28:00,4007.24,4007.43,4006.92,4006.94,66
2026-07-20 22:29:00,4006.94,4012.6,4006.64,4012.6,104
2026-07-20 22:30:00,4012.65,4017.62,4011.94,4012.1,118
2026-07-20 22:31:00,4012.05,4014.73,4011.79,4014.43,101
2026-07-20 22:32:00,4014.56,4014.93,4013.48,4014.48,93
2026-07-20 22:33:00,4014.51,4014.96,4013.73,4014.4,84
2026-07-20 22:34:00,4014.38,4015.67,4013.57,4013.62,81
2026-07-20 22:35:00,4013.59,4013.91,4012.65,4012.82,96
2026-07-20 22:36:00,4012.81,4012.81,4010.71,4010.83,90
2026-07-20 22:37:00,4010.72,4010.95,4009.64,4010.42,87
2026-07-20 22:38:00,4010.59,4011.72,4010.12,4011.23,85
2026-07-20 22:39:00,4011.21,4011.28,4010.7,4010.76,76
2026-07-20 22:40:00,4010.77,4010.77,4009.73,4009.93,91
2026-07-20 22:41:00,4009.91,4010.38,4009.62,4009.92,76
2026-07-20 22:42:00,4009.94,4010.76,4009.41,4009.59,73
2026-07-20 22:43:00,4009.53,4010.04,4007.83,4007.83,73
2026-07-20 22:44:00,4007.95,4008.18,4005.15,4005.61,80
2026-07-20 22:45:00,4005.53,4006.59,4005.22,4005.68,94
2026-07-20 22:46:00,4005.7,4008.58,4005.7,4008.53,80
2026-07-20 22:47:00,4008.52,4008.68,4008.37,4008.68,62
2026-07-20 22:48:00,4008.65,4009.6,4007.82,4007.92,63
2026-07-20 22:49:00,4007.93,4008.93,4007.53,4008.72,77
2026-07-20 22:50:00,4008.6,4009.72,4007.98,4009.3,89
2026-07-20 22:51:00,4009.3,4009.47,4008.54,4009.39,82
2026-07-20 22:52:00,4009.4,4009.46,4008.61,4008.75,62
2026-07-20 22:53:00,4008.75,4009.64,4008.36,4009.14,64
2026-07-20 22:54:00,4009.01,4009.6,4008.83,4009.47,79
2026-07-20 22:55:00,4009.04,4009.04,4006.57,4006.81,89
2026-07-20 22:56:00,4006.69,4007.95,4006.69,4007.82,75
2026-07-20 22:57:00,4007.84,4007.84,4006.62,4006.62,88
2026-07-20 22:58:00,4006.59,4007.16,4006.2,4007.02,73
2026-07-20 22:59:00,4006.8,4007.24,4005.72,4006.71,95
2026-07-20 23:00:00,4006.95,4008.3,4006.44,4008.19,88
2026-07-20 23:01:00,4008.28,4008.36,4007.04,4008.16,71
2026-07-20 23:02:00,4008.21,4008.91,4007.76,4007.79,64
2026-07-20 23:03:00,4007.78,4008.35,4007.71,4008.06,53
2026-07-20 23:04:00,4008.07,4008.39,4008.07,4008.17,45
2026-07-20 23:05:00,4008.19,4009.07,4007.61,4007.61,52
2026-07-20 23:06:00,4007.5,4007.85,4006.83,4006.83,57
2026-07-20 23:07:00,4006.79,4006.82,4005.81,4005.85,52
2026-07-20 23:08:00,4006.13,4006.34,4005.57,4006.23,60
2026-07-20 23:09:00,4006.14,4006.47,4005.75,4006.47,49
2026-07-20 23:10:00,4006.08,4006.47,4006.01,4006.46,42
2026-07-20 23:11:00,4006.4,4006.49,4006.23,4006.33,47
2026-07-20 23:12:00,4006.38,4006.54,4006.19,4006.32,48
2026-07-20 23:13:00,4006.3,4007.29,4006.2,4006.95,57
2026-07-20 23:14:00,4006.93,4008.06,4006.7,4007.52,48
2026-07-20 23:15:00,4007.51,4007.69,4007.06,4007.11,54
2026-07-20 23:16:00,4007.09,4007.74,4006.95,4007.73,33
2026-07-20 23:17:00,4007.76,4007.79,4007.38,4007.46,33
2026-07-20 23:18:00,4007.48,4008.13,4007.02,4007.09,40
2026-07-20 23:19:00,4007.1,4007.1,4006.97,4007.08,25
2026-07-20 23:20:00,4007.09,4007.9,4007.09,4007.82,32
2026-07-20 23:21:00,4007.89,4008.66,4007.77,4008.65,43
2026-07-20 23:22:00,4008.66,4008.73,4007.87,4007.95,43
2026-07-20 23:23:00,4007.98,4008.56,4007.98,4008.48,30
2026-07-20 23:24:00,4008.46,4008.67,4008.18,4008.34,37
2026-07-20 23:25:00,4008.1,4008.29,4008.0,4008.29,32
2026-07-20 23:26:00,4008.24,4008.91,4007.87,4008.32,40
2026-07-20 23:27:00,4008.35,4008.44,4007.96,4008.44,21
2026-07-20 23:28:00,4008.56,4008.91,4008.35,4008.46,38
2026-07-20 23:29:00,4008.47,4008.6,4007.93,4008.03,44
2026-07-20 23:30:00,4008.02,4008.72,4008.02,4008.71,37
2026-07-20 23:31:00,4008.71,4008.78,4007.27,4007.42,37
2026-07-20 23:32:00,4007.46,4008.77,4007.46,4008.67,42
2026-07-20 23:33:00,4008.68,4008.78,4008.25,4008.69,35
2026-07-20 23:34:00,4008.76,4009.04,4008.57,4008.96,33
2026-07-20 23:35:00,4008.92,4009.15,4008.81,4008.85,32
2026-07-20 23:36:00,4008.87,4009.12,4008.38,4008.39,32
2026-07-20 23:37:00,4008.38,4008.59,4007.91,4008.42,38
2026-07-20 23:38:00,4008.45,4008.72,4008.44,4008.46,33
2026-07-20 23:39:00,4008.48,4008.93,4008.48,4008.53,27
2026-07-20 23:40:00,4008.46,4008.99,4008.46,4008.99,28
2026-07-20 23:41:00,4008.98,4009.18,4008.79,4008.79,28
2026-07-20 23:42:00,4008.74,4008.79,4008.56,4008.74,16
2026-07-20 23:43:00,4008.74,4008.74,4008.17,4008.17,17
2026-07-20 23:44:00,4008.12,4008.76,4008.12,4008.56,26
2026-07-20 23:45:00,4008.5,4008.5,4007.98,4008.31,33
2026-07-20 23:46:00,4008.3,4008.33,4007.75,4007.76,24
2026-07-20 23:47:00,4007.81,4007.86,4007.56,4007.56,21
2026-07-20 23:48:00,4007.77,4008.14,4007.72,4007.88,19
2026-07-20 23:49:00,4007.73,4007.77,4007.67,4007.72,25
2026-07-20 23:50:00,4007.77,4007.77,4007.4,4007.48,25
